"","game_date","game_id","batter_id","pitcher_id","top_bot","start","end","pred_sing","pred_re24","actual"
"1","2017-04-03",490098,542255,592789,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.35512,0.547166111002157,0
"2","2017-04-03",490098,621020,592789,"Top","1  outs,  _ _ _","2  outs,  _ _ _",0.2082,0.298561151079137,0
"3","2017-04-03",490098,518692,592789,"Top","2  outs,  _ _ _",NA,0.09464,0.116223585548739,0
"4","2017-04-03",490098,408314,527054,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.4656,0.547166111002157,0
"5","2017-04-03",490098,452678,527054,"Bot","1  outs,  _ _ _","1  outs,  1b _ _",0.27511,0.298561151079137,0
"6","2017-04-03",490098,493316,527054,"Bot","1  outs,  1b _ _","2  outs,  _ 2b _",0.53012,0.574389341228719,0
"7","2017-04-03",490098,434158,527054,"Bot","2  outs,  _ 2b _",NA,0.34038,0.278283485045514,0
"8","2017-04-02",490099,656941,593372,"Top","0  outs,  _ _ _","0  outs,  1b _ _",0.46391,0.547166111002157,0
"9","2017-04-02",490099,592178,593372,"Top","0  outs,  1b _ _","1  outs,  1b _ _",0.77964,0.892519346517627,0
"10","2017-04-02",490099,519203,593372,"Top","1  outs,  1b _ _","1  outs,  1b 2b _",0.48375,0.574389341228719,0
"11","2017-04-02",490099,450314,593372,"Top","1  outs,  1b 2b _",NA,0.82065,0.774674115456238,0
"12","2017-04-02",490099,451594,452657,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.43987,0.547166111002157,0
"13","2017-04-02",490099,649557,452657,"Bot","1  outs,  _ _ _","1  outs,  _ 2b _",0.25299,0.298561151079137,0
"14","2017-04-02",490099,572761,452657,"Bot","1  outs,  _ 2b _","2  outs,  _ _ 3b",0.65933,0.576985413290113,0
"15","2017-04-02",490099,425509,452657,"Bot","2  outs,  _ _ 3b",NA,0.32607,0.327974276527331,0
"16","2017-04-03",490100,467793,506433,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.45926,0.547166111002157,0
"17","2017-04-03",490100,596019,506433,"Top","1  outs,  _ _ _","1  outs,  1b _ _",0.24359,0.298561151079137,0
"18","2017-04-03",490100,488726,506433,"Top","1  outs,  1b _ _","2  outs,  1b _ _",0.4688,0.574389341228719,0
"19","2017-04-03",490100,429665,506433,"Top","2  outs,  1b _ _",NA,0.22282,0.227436823104693,0
"20","2017-04-03",490100,460576,446372,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.44649,0.547166111002157,0
"21","2017-04-03",490100,425783,446372,"Bot","1  outs,  _ _ _","2  outs,  _ _ _",0.25709,0.298561151079137,0
"22","2017-04-03",490100,608577,446372,"Bot","2  outs,  _ _ _","2  outs,  _ 2b _",0.10297,0.116223585548739,0
"23","2017-04-03",490100,435063,446372,"Bot","2  outs,  _ 2b _",NA,0.29196,0.278283485045514,0
"24","2017-04-03",490101,453568,448855,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.45824,0.547166111002157,0
"25","2017-04-03",490101,518934,448855,"Top","1  outs,  _ _ _","2  outs,  _ _ _",0.25736,0.298561151079137,0
"26","2017-04-03",490101,471865,448855,"Top","2  outs,  _ _ _",NA,0.11726,0.116223585548739,0
"27","2017-04-03",490101,542340,592351,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.40563,0.547166111002157,0
"28","2017-04-03",490101,519346,592351,"Bot","1  outs,  _ _ _","2  outs,  _ _ _",0.22052,0.298561151079137,0
"29","2017-04-03",490101,460075,592351,"Bot","2  outs,  _ _ _",NA,0.10066,0.116223585548739,0
"30","2017-04-04",490102,435079,500779,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.47732,0.547166111002157,0
"31","2017-04-04",490102,592206,500779,"Top","1  outs,  _ _ _","2  outs,  _ _ _",0.27522,0.298561151079137,0
"32","2017-04-04",490102,408234,500779,"Top","2  outs,  _ _ _","2  outs,  1b _ _",0.12047,0.116223585548739,0
"33","2017-04-04",490102,400121,500779,"Top","2  outs,  1b _ _",NA,0.22167,0.227436823104693,0
"34","2017-04-04",490102,573135,434378,"Bot","0  outs,  _ _ _","0  outs,  1b _ _",0.36228,0.547166111002157,1
"35","2017-04-04",490102,641313,434378,"Bot","0  outs,  1b _ _","1  outs,  1b _ _",0.69147,0.892519346517627,1
"36","2017-04-04",490102,466320,434378,"Bot","1  outs,  1b _ _","2  outs,  _ _ _",0.45407,0.574389341228719,1
"37","2017-04-04",490102,547989,434378,"Bot","2  outs,  _ _ _",NA,0.0894,0.116223585548739,0
"38","2017-04-03",490103,460086,429722,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.41992,0.547166111002157,0
"39","2017-04-03",490103,519058,429722,"Top","1  outs,  _ _ _","2  outs,  _ _ _",0.22974,0.298561151079137,0
"40","2017-04-03",490103,456715,429722,"Top","2  outs,  _ _ _","2  outs,  1b _ _",0.08474,0.116223585548739,0
"41","2017-04-03",490103,543333,429722,"Top","2  outs,  1b _ _",NA,0.21423,0.227436823104693,0
"42","2017-04-03",490103,572821,518633,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.43311,0.547166111002157,0
"43","2017-04-03",490103,543257,518633,"Bot","1  outs,  _ _ _","2  outs,  _ _ _",0.23103,0.298561151079137,0
"44","2017-04-03",490103,621439,518633,"Bot","2  outs,  _ _ _",NA,0.07839,0.116223585548739,0
"45","2017-04-03",490104,488862,608665,"Top","0  outs,  _ _ _","0  outs,  1b _ _",0.46458,0.547166111002157,0
"46","2017-04-03",490104,594777,608665,"Top","0  outs,  1b _ _","0  outs,  1b 2b _",0.80404,0.892519346517627,0
"47","2017-04-03",490104,545361,608665,"Top","0  outs,  1b 2b _","2  outs,  _ _ 3b",1.28105,1.27950310559006,0
"48","2017-04-03",490104,405395,608665,"Top","2  outs,  _ _ 3b",NA,0.36905,0.327974276527331,0
"49","2017-04-03",490104,434658,445060,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.47389,0.547166111002157,0
"50","2017-04-03",490104,459964,445060,"Bot","1  outs,  _ _ _","2  outs,  _ _ _",0.27046,0.298561151079137,0
"51","2017-04-03",490104,592387,445060,"Bot","2  outs,  _ _ _",NA,0.10315,0.116223585548739,0
"52","2017-04-03",490105,543829,544931,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.3671,0.547166111002157,0
"53","2017-04-03",490105,592663,544931,"Top","1  outs,  _ _ _","2  outs,  _ _ _",0.21526,0.298561151079137,0
"54","2017-04-03",490105,592885,544931,"Top","2  outs,  _ _ _",NA,0.09552,0.116223585548739,0
"55","2017-04-03",490105,607208,450172,"Bot","0  outs,  _ _ _","0  outs,  _ 2b _",0.52237,0.547166111002157,0
"56","2017-04-03",490105,594809,450172,"Bot","0  outs,  _ 2b _","0  outs,  1b 2b _",1.08101,1.07829977628635,0
"57","2017-04-03",490105,547180,450172,"Bot","0  outs,  1b 2b _","1  outs,  _ 2b 3b",1.40463,1.27950310559006,0
