"","game_date","game_id","start_re24","end_re24","pred_sing","pred_re24","actual"
"1","2019-04-04",564734,"0  outs,  _ _ _","0  outs,  1b _ _",0.38526,0.542672160094173,5
"2","2019-04-04",564734,"0  outs,  1b _ _","1  outs,  1b _ _",0.681,0.9625,5
"3","2019-04-04",564734,"1  outs,  1b _ _","1  outs,  1b 2b _",0.4058,0.548789435069699,5
"4","2019-04-04",564734,"1  outs,  1b 2b _","1  outs,  _ _ _",0.84551,0.882239382239382,5
"5","2019-04-04",564734,"1  outs,  _ _ _","1  outs,  1b _ _",0.21551,0.28759752488566,2
"6","2019-04-04",564734,"1  outs,  1b _ _","1  outs,  _ _ _",0.41845,0.548789435069699,2
"7","2019-04-04",564734,"1  outs,  _ _ _","2  outs,  _ _ _",0.17217,0.28759752488566,0
"8","2019-04-04",564734,"2  outs,  _ _ _","2  outs,  1b _ _",0.05934,0.0949324324324324,0
"9","2019-04-04",564734,"2  outs,  1b _ _",NA,0.15278,0.213401310997815,0
"10","2019-04-04",564734,"0  outs,  _ _ _","0  outs,  _ _ _",0.38526,0.542672160094173,1
"11","2019-04-04",564734,"0  outs,  _ _ _","0  outs,  1b _ _",0.39019,0.542672160094173,0
"12","2019-04-04",564734,"0  outs,  1b _ _","0  outs,  1b 2b _",0.69999,0.9625,0
"13","2019-04-04",564734,"0  outs,  1b 2b _","1  outs,  1b 2b _",1.25138,1.57777777777778,0
"14","2019-04-04",564734,"1  outs,  1b 2b _","1  outs,  1b 2b 3b",0.85155,0.882239382239382,0
"15","2019-04-04",564734,"1  outs,  1b 2b 3b",NA,1.25447,1.29559748427673,0
"16","2019-04-05",564735,"0  outs,  _ _ _","1  outs,  _ _ _",0.39297,0.542672160094173,0
"17","2019-04-05",564735,"1  outs,  _ _ _","1  outs,  _ 2b _",0.20386,0.28759752488566,0
"18","2019-04-05",564735,"1  outs,  _ 2b _","1  outs,  1b _ 3b",0.58357,0.712605042016807,0
"19","2019-04-05",564735,"1  outs,  1b _ 3b","2  outs,  _ 2b 3b",0.86478,1.08482142857143,0
"20","2019-04-05",564735,"2  outs,  _ 2b 3b",NA,0.4062,0.506410256410256,0
"21","2019-04-05",564735,"0  outs,  _ _ _","1  outs,  _ _ _",0.39297,0.542672160094173,0
"22","2019-04-05",564735,"1  outs,  _ _ _","2  outs,  _ _ _",0.20386,0.28759752488566,0
"23","2019-04-05",564735,"2  outs,  _ _ _",NA,0.0689,0.0949324324324324,0
"24","2019-04-06",564736,"0  outs,  _ _ _","1  outs,  _ _ _",0.36614,0.542672160094173,0
"25","2019-04-06",564736,"1  outs,  _ _ _","1  outs,  _ 2b _",0.20481,0.28759752488566,0
"26","2019-04-06",564736,"1  outs,  _ 2b _","2  outs,  _ 2b _",0.5956,0.712605042016807,0
"27","2019-04-06",564736,"2  outs,  _ 2b _",NA,0.27461,0.337333333333333,0
"28","2019-04-06",564736,"0  outs,  _ _ _","0  outs,  1b _ _",0.36614,0.542672160094173,0
"29","2019-04-06",564736,"0  outs,  1b _ _","0  outs,  1b 2b _",0.66256,0.9625,0
"30","2019-04-06",564736,"0  outs,  1b 2b _","0  outs,  1b 2b 3b",1.1491,1.57777777777778,0
"31","2019-04-06",564736,"0  outs,  1b 2b 3b","1  outs,  1b 2b 3b",1.65461,2.31944444444444,0
"32","2019-04-06",564736,"1  outs,  1b 2b 3b","2  outs,  1b 2b 3b",1.21719,1.29559748427673,0
"33","2019-04-06",564736,"2  outs,  1b 2b 3b",NA,0.64323,0.689956331877729,0
"34","2019-04-07",564737,"0  outs,  _ _ _","0  outs,  1b _ _",0.4262,0.542672160094173,0
"35","2019-04-07",564737,"0  outs,  1b _ _","2  outs,  _ _ _",0.72555,0.9625,0
"36","2019-04-07",564737,"2  outs,  _ _ _",NA,0.07564,0.0949324324324324,0
"37","2019-04-07",564737,"0  outs,  _ _ _","1  outs,  _ _ _",0.4262,0.542672160094173,0
"38","2019-04-07",564737,"1  outs,  _ _ _","2  outs,  _ _ _",0.22188,0.28759752488566,0
"39","2019-04-07",564737,"2  outs,  _ _ _",NA,0.07564,0.0949324324324324,0
"40","2019-04-08",564738,"0  outs,  _ _ _","1  outs,  _ _ _",0.4927,0.542672160094173,0
"41","2019-04-08",564738,"1  outs,  _ _ _","1  outs,  1b _ _",0.2904,0.28759752488566,0
"42","2019-04-08",564738,"1  outs,  1b _ _","2  outs,  _ 2b _",0.50114,0.548789435069699,0
"43","2019-04-08",564738,"2  outs,  _ 2b _",NA,0.33141,0.337333333333333,0
"44","2019-04-08",564738,"0  outs,  _ _ _","1  outs,  _ _ _",0.4927,0.542672160094173,0
"45","2019-04-08",564738,"1  outs,  _ _ _","1  outs,  1b _ _",0.2904,0.28759752488566,0
"46","2019-04-08",564738,"1  outs,  1b _ _","1  outs,  1b 2b _",0.50114,0.548789435069699,0
"47","2019-04-08",564738,"1  outs,  1b 2b _",NA,0.93304,0.882239382239382,0
"48","2019-04-09",564739,"0  outs,  _ _ _","0  outs,  1b _ _",0.53473,0.542672160094173,0
"49","2019-04-09",564739,"0  outs,  1b _ _","1  outs,  1b _ _",0.88774,0.9625,0
"50","2019-04-09",564739,"1  outs,  1b _ _","2  outs,  1b _ _",0.54803,0.548789435069699,0
"51","2019-04-09",564739,"2  outs,  1b _ _",NA,0.2577,0.213401310997815,0
"52","2019-04-09",564739,"0  outs,  _ _ _","1  outs,  _ _ _",0.53473,0.542672160094173,6
"53","2019-04-09",564739,"1  outs,  _ _ _","1  outs,  1b _ _",0.32118,0.28759752488566,6
"54","2019-04-09",564739,"1  outs,  1b _ _","1  outs,  1b 2b _",0.54803,0.548789435069699,6
"55","2019-04-09",564739,"1  outs,  1b 2b _","2  outs,  1b 2b _",0.99434,0.882239382239382,6
"56","2019-04-09",564739,"2  outs,  1b 2b _","2  outs,  1b 2b _",0.5111,0.420875420875421,6
"57","2019-04-09",564739,"2  outs,  1b 2b _","2  outs,  1b _ 3b",0.50521,0.420875420875421,5
"58","2019-04-09",564739,"2  outs,  1b _ 3b","2  outs,  1b 2b _",0.45977,0.370629370629371,4
"59","2019-04-09",564739,"2  outs,  1b 2b _","2  outs,  _ _ _",0.44746,0.420875420875421,3
"60","2019-04-09",564739,"2  outs,  _ _ _",NA,0.10051,0.0949324324324324,0
"61","2019-04-10",564740,"0  outs,  _ _ _","0  outs,  1b _ _",0.4807,0.542672160094173,0
"62","2019-04-10",564740,"0  outs,  1b _ _","1  outs,  1b _ _",0.8207,0.9625,0
"63","2019-04-10",564740,"1  outs,  1b _ _",NA,0.5113,0.548789435069699,0
"64","2019-04-10",564740,"0  outs,  _ _ _","1  outs,  _ _ _",0.4807,0.542672160094173,0
"65","2019-04-10",564740,"1  outs,  _ _ _","2  outs,  _ _ _",0.27974,0.28759752488566,0
"66","2019-04-10",564740,"2  outs,  _ _ _",NA,0.10749,0.0949324324324324,0
"67","2019-04-18",564741,"0  outs,  _ _ _","1  outs,  _ _ _",0.49539,0.542672160094173,0
"68","2019-04-18",564741,"1  outs,  _ _ _","2  outs,  _ _ _",0.29473,0.28759752488566,0
"69","2019-04-18",564741,"2  outs,  _ _ _",NA,0.11307,0.0949324324324324,0
"70","2019-04-18",564741,"0  outs,  _ _ _","1  outs,  _ _ _",0.49539,0.542672160094173,0
"71","2019-04-18",564741,"1  outs,  _ _ _","2  outs,  _ _ _",0.29473,0.28759752488566,0
"72","2019-04-18",564741,"2  outs,  _ _ _","2  outs,  1b _ _",0.11307,0.0949324324324324,0
"73","2019-04-18",564741,"2  outs,  1b _ _",NA,0.26145,0.213401310997815,0
"74","2019-04-19",564742,"0  outs,  _ _ _","1  outs,  _ _ _",0.46717,0.542672160094173,0
"75","2019-04-19",564742,"1  outs,  _ _ _","2  outs,  _ _ _",0.28045,0.28759752488566,0
"76","2019-04-19",564742,"2  outs,  _ _ _",NA,0.11017,0.0949324324324324,0
"77","2019-04-19",564742,"0  outs,  _ _ _","0  outs,  1b _ _",0.46717,0.542672160094173,0
"78","2019-04-19",564742,"0  outs,  1b _ _","1  outs,  1b _ _",0.82722,0.9625,0
"79","2019-04-19",564742,"1  outs,  1b _ _","2  outs,  1b _ _",0.52708,0.548789435069699,0
"80","2019-04-19",564742,"2  outs,  1b _ _",NA,0.24061,0.213401310997815,0
"81","2019-04-20",564743,"0  outs,  _ _ _","0  outs,  _ _ _",0.48855,0.542672160094173,2
"82","2019-04-20",564743,"0  outs,  _ _ _","1  outs,  _ _ _",0.48444,0.542672160094173,1
"83","2019-04-20",564743,"1  outs,  _ _ _","2  outs,  _ _ _",0.28582,0.28759752488566,1
"84","2019-04-20",564743,"2  outs,  _ _ _","2  outs,  _ _ _",0.11801,0.0949324324324324,1
"85","2019-04-20",564743,"2  outs,  _ _ _",NA,0.10092,0.0949324324324324,0
"86","2019-04-20",564743,"0  outs,  _ _ _","1  outs,  _ _ _",0.48855,0.542672160094173,0
"87","2019-04-20",564743,"1  outs,  _ _ _","1  outs,  1b _ _",0.27336,0.28759752488566,0
"88","2019-04-20",564743,"1  outs,  1b _ _","1  outs,  1b 2b _",0.53564,0.548789435069699,0
"89","2019-04-20",564743,"1  outs,  1b 2b _","2  outs,  1b 2b _",0.93725,0.882239382239382,0
"90","2019-04-20",564743,"2  outs,  1b 2b _",NA,0.42944,0.420875420875421,0
"91","2019-04-21",564744,"0  outs,  _ _ _","1  outs,  _ _ _",0.49336,0.542672160094173,0
"92","2019-04-21",564744,"1  outs,  _ _ _","2  outs,  _ _ _",0.2767,0.28759752488566,0
"93","2019-04-21",564744,"2  outs,  _ _ _",NA,0.12191,0.0949324324324324,0
"94","2019-04-21",564744,"0  outs,  _ _ _","1  outs,  _ _ _",0.49336,0.542672160094173,0
"95","2019-04-21",564744,"1  outs,  _ _ _","1  outs,  _ 2b _",0.2767,0.28759752488566,0
"96","2019-04-21",564744,"1  outs,  _ 2b _","2  outs,  _ _ 3b",0.66475,0.712605042016807,0
"97","2019-04-21",564744,"2  outs,  _ _ 3b",NA,0.31084,0.35423197492163,0
"98","2019-04-22",564745,"0  outs,  _ _ _","1  outs,  _ _ _",0.46561,0.542672160094173,1
"99","2019-04-22",564745,"1  outs,  _ _ _","1  outs,  _ _ _",0.25911,0.28759752488566,1
"100","2019-04-22",564745,"1  outs,  _ _ _","2  outs,  _ _ _",0.24609,0.28759752488566,0
"101","2019-04-22",564745,"2  outs,  _ _ _",NA,0.09558,0.0949324324324324,0
"102","2019-04-22",564745,"0  outs,  _ _ _","1  outs,  _ _ _",0.46561,0.542672160094173,0
"103","2019-04-22",564745,"1  outs,  _ _ _","2  outs,  _ _ _",0.25911,0.28759752488566,0
"104","2019-04-22",564745,"2  outs,  _ _ _",NA,0.10514,0.0949324324324324,0
"105","2019-04-23",564746,"0  outs,  _ _ _","1  outs,  _ _ _",0.43145,0.542672160094173,1
